N	Wave	B0	B1	S	Sair
100	637.72929678874	0.0197743250053299	0.023511109522506	0.172867808278921	0.230979401289715
101	641.06498684192	0.0198038820322393	0.0236199638131991	0.16809874349544	0.224448209865019
102	644.40024828998	0.0197718292926377	0.0237389482739049	0.164049454053867	0.218978940782232
103	647.73506926336	0.0198131531931262	0.0233433209009528	0.160989412529706	0.214760286837783
104	651.0694378925	0.01976997670054	0.023357637586464	0.158456777220476	0.21144235765297
105	654.40334230784	0.0198093358205036	0.0233662494179949	0.156354323851258	0.208630178739907
106	657.73677063982	0.0197642606740082	0.023489243737664	0.154230529714332	0.205853888883422
107	661.06971101888	0.0197959850487268	0.0238080134730249	0.151309439459937	0.201964085411832
108	664.40215157546	0.0197643484357171	0.0236342635662164	0.147947495334524	0.197425302215496
109	667.73408044	0.0198112772211696	0.0234250325783418	0.144869598501279	0.193290522277785
110	671.06548574294	0.019740134578934	0.0234885512510284	0.142470167819104	0.190033426341063
111	674.39635561472	0.0198022190961606	0.023601053010401	0.140501406691495	0.187375414076715
112	677.72667818578	0.0197577291440423	0.023742415071128	0.138724167857212	0.184956460931246
113	681.05644158656	0.0198195132126352	0.0238801689395789	0.136942530290979	0.182614492784178
114	684.3856339475	0.0197584130921514	0.0234486415372558	0.135247479832809	0.180269575917661
115	687.71424339904	0.0198097713139936	0.0237087689836374	0.133338307902705	0.177790355219172
116	691.04225807162	0.0197636486102412	0.0236543694190542	0.131210414671427	0.174915559619094
117	694.36966609568	0.0198070468625332	0.0234095691964077	0.128898220674209	0.171771336924354
118	697.69645560166	0.0197703207683132	0.0235551776473284	0.126512177842208	0.168619610653226
119	701.02261472	0.0198116045391933	0.023455779892686	0.124247052998453	0.165658927191806
120	704.34813158114	0.0197685060376287	0.0234654216387998	0.122359436881445	0.163196015375048
121	707.67299431552	0.0198167957402372	0.0234091444875635	0.120821668382809	0.161104394940982
122	710.99719105358	0.0197746807630326	0.0232371684777028	0.119716412532476	0.159644751392846
